,IMO,max_op_speed,main engine power 85_x,Design Speed (knots),real_propulsion_power,EPL,Main Engine Power (kW),Count Inst,Count Equip,Customer ID,Customer Country,Cust Corp Group Key,CustStatus,Inst Status,Inst Category,Inst Load attribute,Inst Segment,Inst Cluster,InstGroup,Inst Type,Inst Type Id,Inst Class Society,Inst Operator Id,Inst Builder Id,Inst Registration Country,Inst Operation Country,Inst BuiltDate,Inst CommDate,Inst Estimated Date,Inst Estimated Date Flag,Equip Status,Equip Category Name,Equip ProdRefTypeID,Equip Application,Equip FuelType,Equip FuelQuality,Equip CommDate,Equip CylQty,Equip Eng L V,Equip bore in mm,Equip Engine rotation,Equip Drive,Equip Version,Equip Product DIA,Equip Position,Equip Valid from,Business,Business Line,Product Category,Product Portfolio,Product,built_year,main engine power 85_y
0,6151611,26.5,32672.674000000003,31.25,19923.802878353406,1,38438.44,1,4,940,GR,8342, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,ABS,1058,2397,GR,GR,2002-07-10,2002-07-11 00:00:00,2002-07-11 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37104,12,V,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,32672.674000000003
1,6151619,23.5,32672.674000000003,31.25,13894.348933947393,1,38438.44,1,4,8787,IT,18942, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,ABS,9885,2397,IT,IT,2002-10-02,2002-05-15 00:00:00,2002-05-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37226,12,V,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2002,32672.674000000003
2,6160131,12.0,3063.06,14.2,1848.5627991316283,1,3603.6,1,2,961,FR, , ,Operating,Marine, -,Merchant,Tankers,Product Tankers,Product Tanker,M143,BV,1082,64784,FR,GF,2001-12-05,2001-11-16 00:00:00,2001-11-16 00:00:00,Act,Operating,Engines (E),Engine 14,ME,HFO,HFO 730,37211,6,R,369.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,Vasa 32,2001,3063.06
3,6160134,11.0,3063.06,14.2,1423.8640541922437,1,3603.6,1,2,21251,ES, , ,Operating,Marine, -,Merchant,Tankers,Product Tankers,Product Tanker,M143,BV,23907,64784,ES,ES,2002-03-13,2002-03-07 00:00:00,2002-03-07 00:00:00,Act,Operating,Engines (E),Engine 14,ME,HFO,HFO 730,37322,6,R,369.0,"CCW,CW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,Vasa 32,2002,3063.06
4,6133907,9.0,1674.4745,11.5,802.6247459521659,1,1969.97,1,1,62533,AE, , ,Operating,Marine, -,Merchant,Tankers,Product Tankers,Product Tanker,M143,KR,70349,2184,KM,AE,2000-02-01,2000-03-05 00:00:00,2000-03-05 00:00:00,Act,Operating,Engines (E),Engine 14,ME,HFO,HFO 730,36590,6,R,369.0,CW, , ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Medium Bore Engines,Power Supply,Vasa 32,2000,1674.4745
5,6165007,22.0,25729.7295,24.0,19818.443266493054,1,30270.27,1,4,59567,FR, , ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,BV,67013,2702,FR,FR,2003-05-19,2004-03-15 00:00:00,2004-03-15 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 730,37622,9,L,531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2003,25729.7295
6,6155018,17.0,26546.5455,25.0,8347.083394656001,1,31231.23,1,4,23831,FR,4547, ,Operating,Marine, -,Cruise & Ferry,Passenger & Cargo Vessels,Passenger & Cargo Vessels,Passenger & Cargo Vessel,M208,BV,26810,2129,FR,FR,2001-11-13,2001-11-16 00:00:00,2001-11-16 00:00:00,Act,Operating,Engines (E),Engine 6,ME,HFO,HFO 380,37211,"12,8","V,L",531.0,"CW,CCW",CPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Large Bore Engines,Power Supply,W 46,2001,26546.5455
7,6157123,7.0,1796.9935,10.0,616.3687704999999,1,2114.11,1,2,1267,TR, , ,Operating,Marine, -,Merchant,Tankers,Product Tankers,Product Tanker,M143,RS,1425,2116,RU,TR,2000-08-19,2000-07-11 00:00:00,2000-07-11 00:00:00,Act,Operating,Engines (E),Engine 1,ME,HFO,HFO 730,36718,8,L,231.0,"CW,CCW",FPP, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2000,1796.9935
8,6173655,8.5,1524.7214999999999,11.5,615.6782057614859,1,1793.79,1,2,1267,TR, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,RS,1425,14502,RU,TR,2002-09-01,2002-09-01 00:00:00,2002-09-01 00:00:00,Act,Operating,Engines (E),Engine 1,ME,HFO,HFO 730,37500,6,L,231.0,CCW,AZI, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2002,1524.7214999999999
9,6178896,8.5,1524.7214999999999,11.5,615.6782057614859,1,1793.79,1,2,1267,TR, , ,Operating,Marine, -,Merchant,Tankers,Combination Tankers,Chemical/Product Tanker,M148,RS,1425,14502,RU,TR,2003-05-01,2002-08-22 00:00:00,2002-08-22 00:00:00,Act,Operating,Engines (E),Engine 1,ME,HFO,HFO 730,3774237672,6,L,231.0,CW,AZI, ,0,-,2004-01-16 00:00:00,Power Systems,Power Supply,Small Bore Engines,Power Supply,W 20,2003,1524.7214999999999
